metric,value
v_min_min,0.9636968087584272
v_min_max,1.0000573728402429
v_min_mean,0.9930011142809332
v_max_min,1.0332949114455892
v_max_max,1.056962027379046
v_max_mean,1.0427168212134343
v_mean_min,0.9997966829660854
v_mean_max,1.0180296142831367
v_mean_mean,1.010620318922629
violating_buses_count_min,0.0
violating_buses_count_max,1.0
violating_buses_count_mean,0.1423611111111111
overvoltage_buses_count_min,0.0
overvoltage_buses_count_max,1.0
overvoltage_buses_count_mean,0.1423611111111111
losses_kw_min,21.02186950614063
losses_kw_max,129.3546006595442
losses_kw_mean,66.84780714655079
pv_generation_kw_min,0.0
pv_generation_kw_max,4128.0
pv_generation_kw_mean,1420.075
