step,time_min,time_h,load_multiplier,pv_multiplier,pv_generation_kw,v_min,v_max,v_mean,v_min_bus,v_max_bus,violating_buses_count,overvoltage_buses_count,undervoltage_buses_count,losses_kw,control_mode,total_q_dispatch_kvar,total_p_curtailment_kw,ders_controlled,optimization_status,sensitivity_cache_hit
0,0,0.0,0.55,0.0,0.0,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
1,5,0.08333333333333333,0.545,0.0,0.0,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
2,10,0.16666666666666666,0.54,0.0,0.0,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
3,15,0.25,0.535,0.0,0.0,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
4,20,0.3333333333333333,0.53,0.0,0.0,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
5,25,0.4166666666666667,0.525,0.0,0.0,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
6,30,0.5,0.52,0.0,0.0,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
7,35,0.5833333333333334,0.5166666666666667,0.0,0.0,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
8,40,0.6666666666666666,0.5133333333333333,0.0,0.0,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
9,45,0.75,0.51,0.0,0.0,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
10,50,0.8333333333333334,0.5066666666666667,0.0,0.0,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
11,55,0.9166666666666666,0.5033333333333333,0.0,0.0,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
